#=====================================================
# File created:        Sun-05-Nov-2023-at-03-09-21PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.366278
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2472.6070  0.2555 
   00001    0.6836   -3709.3989  0.2555 
   00002    0.6196   -4480.0698  0.2544 
   00003    0.5808   -4988.0034  0.2542 
   00004    0.5808   -5350.7595  0.2562 
   00005    0.5428   -5659.7548  0.2571 
   00006    0.5472   -5944.8138  0.2655 
   00007    0.5200   -6188.3915  0.2693 
   00008    0.5096   -6377.5757  0.2690 
   00009    0.4872   -6625.7139  0.2746 
   00010    0.5016   -6750.6949  0.2750 
   00011    0.4924   -6965.3586  0.2732 
   00012    0.4520   -7054.7762  0.2813 
   00013    0.4624   -7104.1821  0.2851 
   00014    0.4656   -7219.7410  0.2798 
   00015    0.4524   -7288.7966  0.2827 
   00016    0.4700   -7380.6246  0.2852 
   00017    0.4392   -7402.1175  0.2944 
   00018    0.4560   -7394.3807  0.2991 
   00019    0.4556   -7448.4008  0.3034 
   00020    0.4632   -7525.0697  0.3031 
   00021    0.4372   -7532.3929  0.3039 
   00022    0.4536   -7566.4845  0.3023 
   00023    0.4476   -7590.6244  0.3010 
   00024    0.4500   -7603.6207  0.3033 
   00025    0.4564   -7646.0492  0.3101 
   00026    0.4480   -7690.9311  0.3182 
   00027    0.4516   -7726.0927  0.3200 
   00028    0.4500   -7694.9434  0.3205 
   00029    0.4372   -7716.3522  0.3181 
   00030    0.4372   -7716.5763  0.3223 
   00031    0.4408   -7752.4849  0.3304 
   00032    0.4492   -7767.7941  0.3328 
   00033    0.4480   -7806.1843  0.3288 
   00034    0.4232   -7790.4279  0.3196 
   00035    0.4368   -7813.1338  0.3156 
   00036    0.4508   -7896.0569  0.3147 
   00037    0.4316   -7885.2191  0.3093 
   00038    0.4392   -7908.0761  0.3177 
   00039    0.4408   -7890.7323  0.3153 
   00040    0.4240   -7866.2447  0.3195 
   00041    0.4348   -7972.9778  0.3194 
   00042    0.4232   -8028.5655  0.3209 
   00043    0.4440   -8038.3963  0.3256 
   00044    0.4296   -8045.3542  0.3265 
   00045    0.4348   -8029.4021  0.3209 
   00046    0.4396   -8094.1941  0.3196 
   00047    0.4376   -8124.2618  0.3193 
   00048    0.4188   -8091.2870  0.3189 
   00049    0.4160   -8099.0775  0.3248 
   00050    0.4216   -8106.7125  0.3233 
